field_name	field_location	data_type	units	field_description	allowable_enumeration
out.natural_gas.interior_equipment.energy_consumption	metadata	float	kwh	Building annual interior equipment natural gas energy consumption	""
out.natural_gas.interior_equipment.energy_savings	metadata	float	kwh	Building annual saving in natural gas energy for the interior equipment end use	""
out.natural_gas.total.energy_consumption	metadata	float	kwh	Building annual total site natural gas energy consumption	""
out.natural_gas.total.energy_savings	metadata	float	kwh	Building annual saving in natural gas energy for the total end use	""
out.natural_gas.water_systems.energy_consumption	metadata	float	kwh	Building annual service water heating natural gas energy consumption	""
out.natural_gas.water_systems.energy_savings	metadata	float	kwh	Building annual saving in natural gas energy for the water systems end use	""
out.other_fuel.cooling.energy_consumption	metadata	float	kwh	Building annual cooling energy consumption for other fuels	""
out.other_fuel.cooling.energy_savings	metadata	float	kwh	Building annual saving in other fuel energy for the cooling end use	""
out.other_fuel.heating.energy_consumption	metadata	float	kwh	Building annual heating energy consumption for other fuels	""
out.other_fuel.heating.energy_savings	metadata	float	kwh	Building annual saving in other fuel energy for the heating end use	""
out.other_fuel.interior_equipment.energy_savings	metadata	float	kwh	Building annual saving in other fuel energy for the interior equipment end use	""
out.other_fuel.total.energy_consumption	metadata	float	kwh	Building annual total site energy consumption for other fuels	""
out.other_fuel.total.energy_savings	metadata	float	kwh	Building annual saving in other fuel energy for the total end use	""
out.other_fuel.water_systems.energy_consumption	metadata	float	kwh	Building annual service water heating energy consumption for other fuels	""
out.other_fuel.water_systems.energy_savings	metadata	float	kwh	Building annual saving in other fuel energy for the water systems end use	""
out.site_energy.total.energy_consumption	metadata	float	kwh	Building annual total site energy consumption	""
out.site_energy.total.energy_savings	metadata	float	kwh	Building annual saving in site energy energy for the total end use	""
out.electricity.total.peak_demand	metadata	float	kw	Building annual peak electric demand	""
out.district_cooling.cooling.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.district_cooling.cooling.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in district cooling energy for the cooling end use on a per area basis	""
out.district_cooling.total.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.district_cooling.total.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in district cooling energy for the total end use on a per area basis	""
out.district_heating.cooling.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.district_heating.cooling.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in district heating energy for the cooling end use on a per area basis	""
out.district_heating.heating.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.district_heating.heating.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in district heating energy for the heating end use on a per area basis	""
out.district_heating.total.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.district_heating.total.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in district heating energy for the total end use on a per area basis	""
out.district_heating.water_systems.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.district_heating.water_systems.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in district heating energy for the water systems end use on a per area basis	""
out.electricity.cooling.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.cooling.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the cooling end use on a per area basis	""
out.electricity.exterior_lighting.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.exterior_lighting.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the exterior lighting end use on a per area basis	""
out.electricity.fans.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.fans.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the fans end use on a per area basis	""
out.electricity.heat_recovery.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.heat_recovery.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the heat recovery end use on a per area basis	""
out.electricity.heat_rejection.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.heat_rejection.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the heat rejection end use on a per area basis	""
out.electricity.heating.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.heating.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the heating end use on a per area basis	""
out.electricity.interior_equipment.energy_consumption_intensity	metadata	float	kwh_per_ft2		""
out.electricity.interior_equipment.energy_savings_intensity	metadata	float	kwh_per_ft2	Building annual saving in electricity energy for the interior equipment end use on a per area basis	""
